"id","manz_ccnct","cod_barr","barrio","zona","y_pred24","y_pred24_red","y_pred23","y_pred23_red","y_pred22","y_pred22_red","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010","n2009","n2008","n2007"
53,"7600110000000017080209","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.153721604008548,0,0.144840862561423,0,0.149742622023541,0,0,1,0,0,0,0,0,0,0,0,0
54,"7600110000000017080208","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
55,"7600110000000017080223","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.13297919822916,0,0.48966218793044,0,0,0,0,0,1,0,0,0,0,0,0
56,"7600110000000017080205","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.267713649334451,0,0.805633332045461,1,0.185107313342872,0,0.447829702630406,0,0.503611085861133,1,0.20061864641943,0,0.559496059071238,1,0,0,0,0,1,0,1,1,0,0,1
57,"7600110000000017080204","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.112733295883968,0,0.48966218793044,0,0,0,0,0,1,0,0,0,1,0,0
58,"7600110000000017080202","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.127616330160117,0,0.147502060364594,0,0,0,0,0,0,0,1,0,0,0,0
59,"7600110000000017080203","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.13297919822916,0,0.48966218793044,0,0,0,0,0,1,0,0,0,0,0,1
60,"7600110000000017080304","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.149742622023541,0,0.389919128030324,0,0,0,1,0,0,0,0,0,0,0,0
61,"7600110000000017130104","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
62,"7600110000000017130105","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.153721604008548,0,0.129334897492952,0,0.149742622023541,0,0,1,0,0,0,0,0,0,1,0,0
63,"7600110000000017130108","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
64,"7600110000000017130107","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389919128030324,0,0.13297919822916,0,0,0,0,1,0,0,0,0,0,0,0
65,"7600110000000017130126","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
66,"7600110000000017130140","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.447829702630406,0,0.503611085861133,1,0.478308221827294,0,0.586552553775069,1,0.266010916334343,0,0.389919128030324,0,0.130172549432869,0,0,1,0,1,0,0,0,0,0,0,0
67,"7600110000000017130132","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",1.90107112403706,2,1.66508951705354,2,1.73130532004402,2,2.24754072480666,2,2.02611632795595,2,1.65529472282103,2,2.05945064935064,2,1,3,1,3,4,4,4,3,1,4,5
68,"7600110000000017130115","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",2.03792059033755,2,1.66365691479741,2,2.25439292071533,2,2.21634631176872,2,2.65260567684809,3,3.17911298701298,3,2.57859238799141,3,4,2,1,3,3,6,4,5,4,7,6
69,"7600110000000017130133","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",1.68830042568141,2,1.86946909294706,2,1.91184432162349,2,1.61001042146135,2,1.75356475804207,2,0.794997905924875,1,1.59533023327546,2,1,0,1,0,1,1,0,1,1,1,0
70,"7600110000000017130114","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.79759308944438,1,0.601789434699984,1,0.704354431143673,1,0.755988579994529,1,1.24277712125336,1,0.863307960732078,1,0.849304035519229,1,0,0,0,2,1,4,1,2,0,1,0
71,"7600110000000017130131","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",2.01306831018425,2,1.59803396149798,2,1.68057542741998,2,2.06491797592156,2,1.6271164628251,2,2.44529612283724,2,2.36094831571936,2,3,3,1,0,1,2,2,0,3,0,0
72,"7600110000000017130130","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",1.65098146171019,2,1.90507112403706,2,1.58955478324933,2,1.59737428885528,2,2.12249997104345,2,2.04653260044049,2,1.6511601106467,2,2,1,3,0,0,1,4,2,2,1,3
73,"7600110000000017130128","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.79894190953324,1,1.0136964857658,1,0.740026905325226,1,1.20551348801967,1,0.934590110403192,1,0.68447975658594,1,0.997617648021192,1,0,1,1,1,1,1,0,0,0,1,0
74,"7600110000000017130134","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",2.52815301944701,3,2.65151624640924,3,1.63718549563382,2,2.70269887955182,3,2.34850310771354,2,0.983020779220779,1,2.62835303030303,3,1,5,4,0,4,2,2,1,1,1,2
75,"7600110000000017130129","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.9907708733435,1,0.862107416036221,1,0.654910539027308,1,0.966427412539067,1,0.909526594098641,1,1.0753047272929,1,1.11521142583617,1,2,0,0,1,1,0,0,1,0,0,0
76,"7600110000000017130127","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.402676693048449,0,1.20955283508097,1,0.6724818536463,1,1.06260369572465,1,0.727179448417422,1,0.130172549432869,0,1.07768453818804,1,0,1,1,0,1,0,0,0,0,0,2
77,"7600110000000017130136","2201","Urbanizacion Ciudad Jardin","Ciudad Jardin",0.79159308944438,1,0.652203330474992,1,0.701093953694835,1,0.74872107606648,1,0.550185211541867,1,1.45432180119052,1,0.667938532515943,1,0,0,1,1,0,1,1,1,0,0,0
78,"7600110000000017090317","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
79,"7600110000000017090318","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.161982730082017,0,0.144840862561423,0,0.144840862561423,0,0,0,0,0,0,0,0,0,0,0,0
80,"7600110000000017090326","2296","Parcelaciones Pance","Ciudad Jardin",1.05428944495489,1,1.41492960832523,1,0.818334017345334,1,1.12354626564937,1,0.871387001607467,1,1.20839220504413,1,1.45053320839587,1,2,1,2,0,1,1,0,0,0,1,3
81,"7600110000000017090327","2296","Parcelaciones Pance","Ciudad Jardin",0.161982730082017,0,0.141925336244404,0,0.206800494521291,0,0.24903064434265,0,0.389828196388941,0,0.142564458244079,0,0.488961325964779,0,0,0,1,0,0,0,1,0,0,1,0
