"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
851,"7600110000000002170117","0215","El Bosque","La Flora",0.122287126439157,0,0.122287126439157,0,0.115685174630154,0,0.115685174630154,0,0,0,0,0,0,0,0,0
852,"7600110000000002170118","0215","El Bosque","La Flora",0.78443352790707,1,1.07957427062239,1,0.767281301136453,1,0.687964644324432,1,0,0,0,3,1,2,2,1
853,"7600110000000002170116","0215","El Bosque","La Flora",0.22802207753659,0,0.139288923121998,0,0.28849514065749,0,0.215627899316245,0,0,0,1,0,0,1,1,0
854,"7600110000000002170202","0215","El Bosque","La Flora",0.17144355438528,0,0.144564256289461,0,0.244162654910363,0,0.0995683126958051,0,0,0,0,0,1,0,0,0
855,"7600110000000002170203","0215","El Bosque","La Flora",0.893977616198471,1,0.854946579685308,1,0.840604359073044,1,0.561518735810825,1,2,1,2,0,0,0,1,0
856,"7600110000000002170115","0215","El Bosque","La Flora",0.183180027753278,0,0.32770650951443,0,0.203667419140263,0,0.33144128075537,0,0,0,0,1,1,0,0,0
857,"7600110000000002170113","0215","El Bosque","La Flora",0.659851076233484,1,0.530897606539749,1,1.00478477377995,1,0.888342127427738,1,2,0,0,1,1,0,0,1
858,"7600110000000002170112","0215","El Bosque","La Flora",0.479876530388306,0,0.743786312895411,1,0.361114158194861,0,0.523063941746673,1,0,1,0,1,1,1,1,0
859,"7600110000000002170111","0215","El Bosque","La Flora",0.277989222622581,0,0.409924989310735,0,0.421889117432037,0,0.368148146494486,0,1,0,0,0,1,1,1,0
860,"7600110000000002170110","0215","El Bosque","La Flora",0.354516524459872,0,0.460030860147978,0,0.572505843118197,1,0.827674598090772,1,1,0,1,0,0,1,0,2
861,"7600110000000002170109","0215","El Bosque","La Flora",0.788839229534344,1,0.474549211871937,0,0.506607378101832,1,0.131586661909839,0,1,0,0,0,1,0,0,0
862,"7600110000000002170108","0215","El Bosque","La Flora",0.0964820595809935,0,0.259000414766201,0,0.42699662113763,0,0.329870606960836,0,0,1,0,0,0,0,0,1
863,"7600110000000002170107","0215","El Bosque","La Flora",0.17144355438528,0,0.144564256289461,0,0.244162654910363,0,0.0995683126958051,0,0,0,0,0,1,0,0,0
864,"7600110000000002170106","0215","El Bosque","La Flora",0.144564256289461,0,0.225626762787068,0,0.16141698982329,0,0.170945370472536,0,0,0,0,1,0,1,0,0
865,"7600110000000002170102","0215","El Bosque","La Flora",0.259000414766201,0,0.352783585328301,0,0.307666918603989,0,0.165704422149666,0,1,0,0,0,0,0,0,0
866,"7600110000000002170120","0215","El Bosque","La Flora",3.49131135531135,3,3.59593016812247,4,3.61047036118003,4,3.95745947258795,4,2,2,3,3,8,2,3,2
867,"7600110000000002140131","0210","Santa Monica","Santa Monica",1.74634777540207,2,1.36726470688687,1,2.65173730320487,3,2.00345936145302,2,3,4,2,2,3,2,3,1
868,"7600110000000002170105","0214","La Paz","La Flora",0.225626762787068,0,0.211611661775502,0,0.188462200989518,0,0.275167727663039,0,0,0,1,0,1,1,0,0
869,"7600110000000002170221","0215","El Bosque","La Flora",0.0964820595809935,0,0.259000414766201,0,0.42699662113763,0,0.307666918603989,0,0,1,0,0,0,0,0,0
870,"7600110000000002170101","0215","El Bosque","La Flora",3.08134432234432,3,1.74050704423781,2,1.19171086808304,1,1.66425628499069,2,1,3,4,1,0,0,0,2
871,"7600110000000002200215","0295","Urbanizacion La Flora","La Flora",1.00875233092789,1,1.23350331461323,1,1.26115465945152,1,1.1666467085878,1,3,1,2,1,2,0,1,0
872,"7600110000000002120110","0294","Vipasa","La Flora",1.54769962248242,2,1.56933907951579,2,2.4821498057498,2,2.22551395162933,2,1,1,1,3,7,1,2,2
873,"7600110000000002110209","0211","Prados del Norte","La Flora",0.0964820595809935,0,0.259000414766201,0,0.42699662113763,0,0.307666918603989,0,0,1,0,0,0,0,0,0
874,"7600110000000002200103","0295","Urbanizacion La Flora","La Flora",7.052,7,6.73846153846153,7,9.13384615384615,9,5.86799999999999,6,15,5,10,12,14,17,11,4
875,"7600110000000002200110","0295","Urbanizacion La Flora","La Flora",2.42879984972292,2,2.1045179934026,2,3.1118665158371,3,1.48324569631148,1,3,3,2,7,1,1,2,1
876,"7600110000000002200117","0295","Urbanizacion La Flora","La Flora",0.192574625202546,0,0.400456264921149,0,0.779421931484227,1,0.528736991233945,1,1,1,0,0,0,0,2,1
877,"7600110000000002200118","0295","Urbanizacion La Flora","La Flora",0.989416153479501,1,2.96668327775793,3,1.62285193542921,2,2.05631422417719,2,0,1,2,0,2,0,2,3
878,"7600110000000002200111","0295","Urbanizacion La Flora","La Flora",0.757938158421666,1,0.757938158421666,1,0.564610645349571,1,0.593776363488659,1,1,1,1,1,1,1,0,2
879,"7600110000000002200112","0295","Urbanizacion La Flora","La Flora",2.2992271916118,2,3.3199067044067,3,2.96638226588226,3,4.22212099516144,4,4,2,5,1,4,3,0,2
880,"7600110000000002200108","0295","Urbanizacion La Flora","La Flora",2.90631638447023,3,1.96733300239271,2,2.40474032455,2,1.4732638978296,1,3,4,1,0,2,1,6,1
